"NestID","EggLetter","Year","Treatment","FemaleID","MaleID","ClutchSize","SampleDOY","IncStage","LayDOY","EggAge","LayOrder_est","LayOrder_known","Mass_egg","Length_egg","Width_egg","Volume_egg","Mass_yolk","Mass_albumen","Mass_shell","MeanStrength","Carotenoid_ugml","Carotenoid_ugg","Carot_ugyolk","T_concentration","FcaughtDOY","FemaleAge","Ectoparasites","Mass_female","Tarsus_female","YellowAreaScore_female","HTheta_female","HPhi_female","RVec_female","Lum_female","ScaledBodyMass_female","HTheta_egg","HPhi_egg","RVec_egg","RMax_egg","RAchieved_egg","Lum_egg","Thickness_shell","ClutchMass_shell","Ectoparasites2","ClutchInitiationDate"
"SF01","C",2009,"EXP",886,,4,122,0.5,122,0,3,3,6.08,2.9735,2.115,6.703771807,1.207,3.69,0.391,,2.973,59.459,71.768,3.06,125,5,20,86.28,38.6,4.5,0.330675021,-0.965344174,0.252203212,0.248583926,84.92604957,2.509125629,-1.179316369,0.156772471,0.270461674,0.579647639,0.195667718,0.07,2.021,"YES",122
"PE58","A",2008,"CONT",617,661,3,162,3,158,4,2,,6.26,2.954,2.17,7.010685662,,,,,,,,,130,1,2,91.5,39.4,4.5,0.305196602,-0.842291244,0.29027449,0.169083246,86.62134799,2.358289389,-1.275697786,0.138774865,0.261294866,0.531104445,0.335934574,0.08,,"YES",157
"AE03","D",2008,"",,,4,122,3,117,5,1,,5.56,2.755,1.9935,5.518037145,,,0.556,177.67,,,,,,,,,,,,,,,,2.417591057,-1.243278274,0.151413823,0.264035134,0.573460888,0.299992426,0.09,2.753,,117
"AE07","B",2008,"EXP",645,,4,138,1,136.5,1.5,2.5,,6.43,2.851,2.1675,6.750655818,1.596,3.951,0.588,212,3.068,58.43,93.254,6.14,143,5,0,87.8,40.4,3.5,0.306089292,-0.89993803,0.268939227,0.173677284,79.25315999,2.358213888,-1.271875737,0.145943038,0.261600704,0.557884728,0.305032095,0.09,2.438,"NO",135
"DA03","A",2009,"EXP",882,,4,119,0.5,119,0,1.5,,5.6,2.961,2.112,6.656666075,1.011,3.174,0.674,,3.311,66.216,66.945,,121,5,1,85.71,37.7,3,0.282324793,-0.982444371,0.250958498,0.304323795,88.23270524,2.474757779,-1.215804109,0.157769931,0.266624236,0.591731395,0.215258007,0.09,2.314,"YES",119
"EM22","A",2009,"STD",,,4,124,0.5,122,2,1,1,5.63,2.9595,2.1375,6.814925736,1.106,3.639,0.484,,,,,,,,,,,,,,,,,2.303671591,-1.309756865,0.13010876,0.258766429,0.502803862,0.252599053,0.09,2.118,,122
"FC18","B",2008,"EXP",602,700,4,147,3,143,4,1,,6.81,3.048,2.1895,7.364366575,2.656,2.691,0.714,141.33,4.446,88.919,236.169,,119,6,0,83.8,39,5,,,,,80.88498896,2.47520477,-1.262451942,0.145471629,0.262374273,0.554443189,0.29332194,0.09,3.004,"NO",143
"HX03","A",2008,"EXP",18895,,4,133,0.5,129,4,3,,6.28,3.043,2.1795,7.285279791,1.207,4.128,0.515,174,4.649,88.546,106.875,2.22,133,6,2,79.2,37.9,5,0.294603134,-0.878794372,0.277323253,0.252651203,80.71557556,2.510980558,-1.192415099,0.170145658,0.269030156,0.632440842,0.202620786,0.09,2.22,"YES",128
"HX03","C",2008,"EXP",18895,,4,133,0.75,129,4,4,,6.4,3.106,2.1025,6.919966576,1.202,4.493,0.499,161,4.946,94.208,113.239,2.46,133,6,2,79.2,37.9,5,0.294603134,-0.878794372,0.277323253,0.252651203,80.71557556,2.505142174,-1.183749029,0.170006929,0.269970352,0.62972444,0.205112168,0.09,2.22,"YES",128
"LP28","B",2008,"EXP",49266,,4,146,2,141,5,1,,6.52,2.837,2.205,6.951956722,1.222,3.758,0.505,176,3.014,60.27,75.941,1.75,120,6,1,93.9,37.5,2.5,0.24585339,-0.951570118,0.259556728,0.230025875,97.64563834,2.457664697,-1.236787267,0.147794817,0.264624293,0.558508121,0.226582604,0.09,2.143,"YES",141
"LP28","D",2008,"EXP",49266,,4,146,1.5,142,4,2,,6.27,2.753,2.1515,6.422726794,1.199,3.737,0.616,194,2.541,50.811,61.024,0.99,120,6,1,93.9,37.5,2.5,0.24585339,-0.951570118,0.259556728,0.230025875,97.64563834,2.402880623,-1.274419999,0.13911208,0.261396609,0.532187776,0.241578272,0.09,2.143,"YES",141
"LR11","C",2009,"STD",,,4,117,0.5,116,1,3,3,6.51,3.1105,2.2005,7.591078594,1.483,4.192,0.473,,3,60,88.98,5.93,,,,,,,,,,,,2.409213613,-1.233967677,0.145147895,0.264884516,0.547966705,0.202396572,0.09,2.267,,114
