NestID,EggLetter,YEAR,TYPE,FEMID,MALEID,CLTCHSIZ,SAMDOY,LAYDOY,AGEATSAM,ESTORD,KNOWNORD,MASS,LENGTH,WIDTH,VOLUME,YOLKMAS,ALBMAS,SHELMAS,MEANSTR,KIT,NOTESLP,NOTESPE,SampleID,Carot_conc_ugml,Carot_ug_g,Carot_ug_yolk,T_concentration,Yolk_sample_mass,Tng_yolkg,Tng_yolkmg,YolkTug,FDOY,AGE,ECTO,BMASS,TARSUS,CONDIT,MEANYAS,h.theta.fem,h.phi.fem,r.vec.fem,lum.fem,fem.scaled.mass,h.theta.egg,h.phi.egg,r.vec.egg,r.max.egg,r.achieved.egg,lum.egg,THICKNESS
SF01,C,2009,EXP,886,,4,122,122,0,3,3,6.08,2.9735,2.115,6.703771807,1.207,3.69,0.391,,LP,clean,,SF01_3_N,2.973,59.459,71.768,3.06,0.49,4.50114,0.00450114,5.43287598,125,5,20,86.28,38.6,0.51042067,4.5,0.330675021,-0.965344174,0.252203212,0.248583926,84.92604957,2.509125629,-1.179316369,0.156772471,0.270461674,0.579647639,0.195667718,0.07
PE58,A,2008,CONT,617,661,3,162,158,4,2,,6.26,2.954,2.17,7.010685662,,,,,PE,,,,,,,,,,,,130,1,2,91.5,39.4,1.05664511,4.5,0.305196602,-0.842291244,0.29027449,0.169083246,86.62134799,2.358289389,-1.275697786,0.138774865,0.261294866,0.531104445,0.335934574,0.08
AE03,D,2008,,,,4,122,117,5,1,,5.56,2.755,1.9935,5.518037145,4.711,,0.556,177.67,PE,too advanced for separation at all/ yolk weight = combined weight alb/yolk/embryo,NEED DNA,,,,,,,,,,,,,,,,,,,,,,2.417591057,-1.243278274,0.151413823,0.264035134,0.573460888,0.299992426,0.09
AE07,B,2008,EXP,645,,4,138,136.5,1.5,2.5,,6.43,2.851,2.1675,6.750655818,1.596,3.951,0.588,212,PE,,,AE07_B_N,3.068,58.43,93.254,6.14,0.51,9.38655,0.00938655,14.9809338,143,5,0,87.8,40.4,2.23652434,3.5,0.306089292,-0.89993803,0.268939227,0.173677284,79.25315999,2.358213888,-1.271875737,0.145943038,0.261600704,0.557884728,0.305032095,0.09
DA03,A,2009,EXP,882,,4,119,119,0,1.5,,5.6,2.961,2.112,6.656666075,1.011,3.174,0.674,,LP,clean,,DA03_1A_N,3.311,66.216,66.945,,,,,,121,5,1,85.71,37.7,-0.3618682,3,0.282324793,-0.982444371,0.250958498,0.304323795,88.23270524,2.474757779,-1.215804109,0.157769931,0.266624236,0.591731395,0.215258007,0.09
EM22,A,2009,STD,,,4,124,122,2,1,1,5.63,2.9595,2.1375,6.814925736,1.106,3.639,0.484,,LP,,,,,,,,,,,,,,,,,,,,,,,,2.303671591,-1.309756865,0.13010876,0.258766429,0.502803862,0.252599053,0.09
FC18,B,2008,EXP,602,700,4,147,143,4,1,,6.81,3.048,2.1895,7.364366575,2.656,2.691,0.714,141.33,PE,"cracked - advanced stage (2-3), trace alb in yolk, trace yolk in alb, beginnings of embryo present in yolk",frozen then thawed,FC18_1B_N,4.446,88.919,236.169,,,,,,119,6,0,83.8,39,1.03098837,5,,,,,80.88498896,2.47520477,-1.262451942,0.145471629,0.262374273,0.554443189,0.29332194,0.09
HX03,A,2008,EXP,18895,,4,133,129,4,3,,6.28,3.043,2.1795,7.285279791,1.207,4.128,0.515,174,LP,beautiful,,HX03_A_N,4.649,88.546,106.875,2.22,0.5,3.336,0.003336,4.026552,133,6,2,79.2,37.9,0.15462201,5,0.294603134,-0.878794372,0.277323253,0.252651203,80.71557556,2.510980558,-1.192415099,0.170145658,0.269030156,0.632440842,0.202620786,0.09
HX03,C,2008,EXP,18895,,4,133,129,4,4,,6.4,3.106,2.1025,6.919966576,1.202,4.493,0.499,161,LP,beautiful,,HX03_C_N,4.946,94.208,113.239,2.46,0.5,3.6885,0.0036885,4.433577,133,6,2,79.2,37.9,0.15462201,5,0.294603134,-0.878794372,0.277323253,0.252651203,80.71557556,2.505142174,-1.183749029,0.170006929,0.269970352,0.62972444,0.205112168,0.09
LP28,B,2008,EXP,49266,,4,146,141,5,1,,6.52,2.837,2.205,6.951956722,1.222,3.758,0.505,176,LP,"stage = 1.25, yolk clean, trace yolk in alb",,LP28_B_N,3.014,60.27,75.941,1.75,0.52,2.73624,0.00273624,3.4476624,120,6,1,93.9,37.5,-0.9600333,2.5,0.24585339,-0.951570118,0.259556728,0.230025875,97.64563834,2.457664697,-1.236787267,0.147794817,0.264624293,0.558508121,0.226582604,0.09
LP28,D,2008,EXP,49266,,4,146,142,4,2,,6.27,2.753,2.1515,6.422726794,1.199,3.737,0.616,194,LP,"stage = 1.5, trace alb in yolk, separation ok",,LP28_D_N,2.541,50.811,61.024,0.99,0.49,1.4553,0.0014553,1.7478153,120,6,1,93.9,37.5,-0.9600333,2.5,0.24585339,-0.951570118,0.259556728,0.230025875,97.64563834,2.402880623,-1.274419999,0.13911208,0.261396609,0.532187776,0.241578272,0.09
LR11,C,2009,STD,,,4,117,116,1,3,3,6.51,3.1105,2.2005,7.591078594,1.483,4.192,0.473,,LP,clean,,LR11_3_N,3,60,88.98,5.93,0.5,8.8905,0.0088905,13.1846115,,,,,,,,,,,,,2.409213613,-1.233967677,0.145147895,0.264884516,0.547966705,0.202396572,0.09
LR23,D,2009,EXP,893,,4,129,129,0,4,4,5.99,2.756,2.1815,6.610285,1.749,2.675,0.72,,LP,clean. Yolk hard,,LR23_4_N,2.324,46.486,81.305,,,,,,134,6,2,89.2,36.9,-1.3315381,4,0.362458099,-0.926187973,0.264924109,0.234577833,95.64481335,2.33259504,-1.271100472,0.149909701,0.261663294,0.572910699,0.236085002,0.09
LR28,A,2009,EXP,891,,4,133,130,3,1,1,6.24,2.904,2.0085,5.90433269,,,,,LP,No NA in yolk mass column?,,LR28_1_N,2.608,49.678,,,,,,,133,6,15,88,36.9,-1.2731989,5,0.296105476,-1.020396659,0.241484198,0.287558827,94.35811182,2.402933135,-1.223870521,0.149518382,0.265837987,0.562441748,0.203903299,0.09
LR28,D,2009,EXP,891,,4,133,133,0,4,4,6.55,2.9175,2.0885,6.413725377,,,,,LP,No NA in yolk mass column?,,LR28_4_N,2.351,44.788,,,,,,,133,6,15,88,36.9,-1.2731989,5,0.296105476,-1.020396659,0.241484198,0.287558827,94.35811182,2.498462247,-1.180387635,0.144157302,0.270342283,0.533239938,0.225138298,0.09
LR31,D,2009,EXP,49278,,4,133,133,0,4,4,7.03,3.0205,2.1215,6.851654398,1.365,4.365,0.737,,LP,CLEAN,,LR31_4_N,3.23,64.595,88.172,,,,,,,,,,,,,,,,,,2.512237522,-1.217184784,0.137624046,0.266488099,0.516435994,0.239672949,0.09
MC02,C,2008,EXP1,49287,,4,129,126.5,2.5,3.5,,6.7,2.98,2.159,7.00087116,0.939,3.188,0.049,,LP,"C is cracked and mold inside egg - managed to get small yolk sample, med. albumen sample and tiny shell",cracked and mold,MC02_C_N,2.77,52.767,,3.86,0.5,5.7825,0.0057825,,135,6,0,90.5,38.6,0.30526112,4.5,0.334976244,-0.857441531,0.28641415,0.166492829,89.07982714,2.498266772,-1.238438808,0.143219403,0.264473084,0.541527332,0.266766484,0.09
PE08,A,2008,STD,,,3,117,113.5,3.5,1.5,,6.47,3.0685,2.077,6.671594733,1.846,3.53,0.638,165.67,PE,,one predated,,,,,,,,,,,,,,,,,,,,,,2.388623152,-1.257090209,0.13274861,0.262826885,0.505080025,0.346093525,0.09
PE08,B,2008,STD,,,3,117,113.5,3.5,1.5,,6.61,3.0275,2.107,6.773977651,1.668,3.868,0.631,170.33,PE,,,,,,,,,,,,,,,,,,,,,,,,2.373712124,-1.255393691,0.136733632,0.262971999,0.519955099,0.370791028,0.09
PE27,B,2008,EXP,634,,4,130,123,7,1.5,,6.37,3.053,2.131,6.987538925,1.119,2.159,,188,PE,not whole samples,,PE27_B_N,2.527,50.541,,4.1,0.51,6.26535,0.00626535,,,,,,,,,,,,,,2.214329249,-1.307530138,0.136782601,0.258921087,0.528279109,0.345034799,0.09
PE51,A,2008,,,,3,162,159,3,3,,7.11,2.97,2.1685,7.038916911,,,0.652,172.5,PE,addled,,,,,,,,,,,,,,,,,,,,,,,2.281823935,-1.258923887,0.142928418,0.262671069,0.544134603,0.288607938,0.09
